date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:05	43/43	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Nov%202022%2004:44:01%20GMT	https://upiqr.in/robots.txt		(from )
10:14:05	6183/6183	---MCZ	200	added ('OK')	text/html	etag:W/%221827-of/uh+27+Tv8RfiIy+AA8g%22	https://upiqr.in/	C:/My%20Web%20Sites/UpiQr/upiqr.in/index.html	(from )
10:14:06	273/273	---M--	200	added ('OK')	application/json	etag:W/%22111-1596085ce78%22	https://upiqr.in/manifest.json	C:/My%20Web%20Sites/UpiQr/upiqr.in/manifest.json	(from https://upiqr.in/)
10:14:06	178/178	---MC-	200	added ('OK')	text/css	date:Sat,%2012%20Nov%202022%2004:44:02%20GMT	https://fonts.googleapis.com/css?family=Roboto	C:/My%20Web%20Sites/UpiQr/fonts.googleapis.com/css7b4f.css	(from https://upiqr.in/)
10:14:06	475/475	---MC-	200	added ('OK')	text/css	date:Sat,%2012%20Nov%202022%2004:44:03%20GMT	https://fonts.googleapis.com/icon?family=Material+Icons	C:/My%20Web%20Sites/UpiQr/fonts.googleapis.com/icone91f.css	(from https://upiqr.in/)
10:14:06	115111/115111	---MCZ	200	added ('OK')	text/css	etag:W/%221c1a7-158a1511f30%22	https://upiqr.in/libs/materialize/css/materialize.min.css	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/materialize/css/materialize.min.css	(from https://upiqr.in/)
10:14:07	6966/6966	---MCZ	200	added ('OK')	text/css	etag:W/%221b36-1594bc1c438%22	https://upiqr.in/libs/mfp/magnific-popup.css	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/mfp/magnific-popup.css	(from https://upiqr.in/)
10:14:07	2746/2746	---MCZ	200	added ('OK')	text/css	etag:W/%22aba-159609a15e0%22	https://upiqr.in/css/style.css	C:/My%20Web%20Sites/UpiQr/upiqr.in/css/style.css	(from https://upiqr.in/)
10:14:07	1367/1367	---MCZ	200	added ('OK')	text/css	etag:W/%22557-1596055f860%22	https://upiqr.in/css/print.css	C:/My%20Web%20Sites/UpiQr/upiqr.in/css/print.css	(from https://upiqr.in/)
10:14:08	84245/84245	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214915-1493f82a940%22	https://upiqr.in/libs/jquery/jquery-2.1.1.min.js	C:/My%20Web%20Sites/UpiQr/upiqr.in/libs/jquery/jquery-2.1.1.min.js	(from https://upiqr.in/)
